news_headline,news_article,news_category
"MP couple deploy 4 guards, 6 dogs to guard Miyazaki mangoes that sell for ₹2.7 lakh/kg","A couple in Madhya Pradesh's Jabalpur have deployed four guards and six dogs to protect Miyazaki mangoes in their orchard. The couple said they took the decision after thieves broke into their orchard last year and stole Japanese Miyazaki mangoes, which are rarely grown in India. The fruit was priced at ₹2.70 lakh per kilogram in international market last year.",national
Bengal to get two 250-bed COVID-19 hospitals from PM-CARES Fund,"West Bengal will get two 250-bed makeshift COVID-19 hospitals from the PM-CARES Fund and an amount of ₹41.62 crore has been allocated for it, the Prime Minister's Office said. The hospitals will be built by the DRDO at Murshidabad and Kalyani. This proposal will augment health infrastructure in West Bengal to effectively manage the COVID-19 situation, an official statement said.",national
IMA to hold protest in Pune on June 18 against assault on doctors,"The Pune chapter of Indian Medical Association (IMA) will hold a protest on Friday to spread awareness about attacks on doctors and pressurise the government to take appropriate action against culprits. Protesters will wear black bands but medical services won't be affected, IMA said. The body claimed five cases of violence against doctors were reported in Pune during COVID-19 pandemic. ",national
Twitter India MD questioned by Delhi Police in B'luru in 'toolkit' case: Report,"Delhi Police's special cell reportedly questioned Twitter India's MD Manish Maheshwari last month over posts by BJP leaders alleging Congress' ""toolkit"" plot. Two inspectors, along with a senior officer, went to Bengaluru to question Maheshwari, an officer said. He was asked about what information Twitter had about the 'toolkit' and why it chose to add ""manipulated media"" label, officer added.",national
BJP MLC urges party's K'taka in-charge to replace CM Yediyurappa,"BJP MLC AH Vishwanath on Thursday said Karnataka CM BS Yediyurappa is not in a condition to run the state government. He urged BJP's state in-charge, Arun Singh, to replace Yediyurappa as the public opinion about the Karnataka government and BJP is negative. Vishwanath claimed that Yediyurappa's son and his friends were collecting money and sending it to Delhi.",national
Centre wants to bulldoze Twitter as it can't control it: Bengal CM,"West Bengal CM Mamata Banerjee on Thursday said, ""Unfortunately, they (the Centre) can't control Twitter that's why they want to bulldoze it."" Her comments come a day after Union  Minister Ravi Shankar Prasad criticised Twitter for not complying with India's new IT rules. ""Similarly, they can't control me that is why they are trying to bulldoze my government,"" Mamata added.",national
Will bounce back in state: Newly appointed Kerala Congress chief ,"Addressing the Congress workers, the newly appointed Kerala Pradesh Congress Committee (KPCC) chief, K Sudhakaran expressed confidence that the party has lost nothing in the state and ""will bounce back"". ""I seek the help of each and every Congress worker in the state, please give me your hand...Let us all work at the grassroots to build our party,"" Sudhakaran said.",national
Telangana Labour Minister's brother held for gambling in Hyd; ₹1 lakh seized,"Narsimha Reddy, the brother of Telangana Labour Minister Chamakura Malla Reddy, was arrested for allegedly indulging in gambling and violating COVID-19 protocols at a private property in Bowenpally, Hyderabad district. Police informed that over ₹1 lakh cash and several mobile phones were seized. Besides Narsimha, 12 others were also held and handed over to Bowenpally Police for further action. ",national
3 Indians among 20 missing in flash floods in central Nepal,"As many as 20 people, including three Indians, are missing following flash floods in the Sindhupalchok district in central Nepal. ""The missing foreigners...3 Indians and 3 Chinese nationals...were working on a development project here,"" Arun Pokhrel, Chief District Officer of Sindhupalchok District told ANI. The flash floods in the district are suspected to be caused by the glacial outburst. ",national
Pune's Bharosa cell sees drop in complaints from senior citizens in 2021,"Pune Police's Bharosa cell has received 450 cases of harassment to senior citizens during the past six months as compared to 662 complaints in the same period of 2020. Out of 450 cases in 2021, 282 are related to mental harassment. ACP (Crime) Ashok Morale said, ""The drop in cases is because of professional counselling done by the team.""",national
"Hyd man held for killing woman after offering her work, robbed ornaments recovered","Hyderabad Police on Wednesday arrested 35-year-old Ganji Venkatesh for allegedly murdering 45-year-old Buneti Chennama by hitting her with an iron rod after offering her work. Police recovered Chennama's valuables like silver leg braces (weighing nearly 700 grams), gold earrings (weighing five grams) and cellphone from Venkatesh. He was apprehended while he tried to dispose of the ornaments.",national
No stay on removal of Faridabad's Aravali forest encroachments: SC,"The Supreme Court on Thursday refused to stay its order directing Haryana and the Faridabad Municipal Corporation to remove encroachments in Aravali forest area. The court said that it wants the forest land to be cleared and asked the state and the civic body to comply with its June 7 order. The area consists of around 10,000 residential constructions.",national
Team India squad for World Test Championship final announced,"The BCCI today announced a 15-member India squad for World Test Championship final against New Zealand, which is scheduled to begin on June 18. Initially, a 20-member squad had travelled to England for the WTC final and upcoming England Tests. Axar Patel, KL Rahul, Shardul Thakur, Mayank Agarwal and Washington Sundar have been omitted from the squad for the final.",sports
"Milkha Singh recovers from COVID-19, still under observation","Three-time Olympian Milkha Singh has recovered from COVID-19 and he has been shifted from the COVID-19 ICU to the Advanced Cardiac Centre of Chandigarh's PGIMER hospital to be kept under observation. ""His medical condition is stable and he is recovering,"" PGIMER's official spokesperson said. Singh had tested COVID-19 positive on May 19 and was admitted to PGIMER on June 3.",sports
It's time to move on and get closure: Viswanathan Anand on Kamath cheating incident,"After Chess.com lifted the ban on India's youngest billionaire Nikhil Kamath who had cheated in an online chess charity game to defeat Viswanathan Anand, the ex-world champion tweeted, ""It’s time to move on and get closure on this."" Kamath had admitted to taking help of chess analysts and computers to beat Anand. He had won the match with 99% accuracy.",sports
"India Women play a Test after more than 6 years, 5 players debut","The India Women-England Women Test that started today at the County Ground in Bristol is India Women's first Test in more than six years. India Women are fielding five debutants: Shafali Verma, Deepti Sharma, Pooja Vastrakar, Taniya Bhatia and Sneh Rana. India Women won their previous Test match by an innings and 34 runs against South Africa in November 2014.",sports
Coca-Cola loses $4bn in market value as Ronaldo removes bottles at press conference,"Coca-Cola lost $4 billion immediately after Portugal captain Cristiano Ronaldo removed two Coca-Cola bottles placed in front of him at a Euro 2020 press conference on Tuesday. Coca-Cola's share price dropped from $56.10 to $55.22, with Coca-Cola's market value going down from $242 billion to $238 billion. After removing the bottles, Ronaldo had lifted a water bottle and said ""Water"".",sports
"India Women's 1st wicket involving DRS in both ODIs, Tests involve same batter, bowler","India Women's Deepti Sharma dismissed England Women's Nat Sciver LBW on the first day of the one-off Test on Wednesday. Sciver opted for DRS, which confirmed her dismissal. It is India Women's first wicket in Tests involving DRS. Notably, India's first wicket in ODIs involving DRS was also Sciver, who was dismissed caught-behind off Deepti on June 24, 2017.",sports
"Protester parachutes into stadium ahead of Euro 2020 match, several fans injured",A climate change protester parachuted into Allianz Arena in Munich and landed on the pitch ahead of Germany's Euro 2020 match against France. The parachutist hit camera wires attached to the stadium roof after which debris fell on the field and the main grandstand. UEFA have said that several people are being treated in the hospital after getting injured.,sports
Ronaldo breaks record for most goals in Euro history as Portugal beat Hungary ,Defending champions Portugal defeated Hungary 3-0 in their opening match of Euro 2020 on Tuesday. Portugal captain Cristiano Ronaldo scored two goals after defender Raphael Guerreiro scored the team's first goal in the 84th minute. Ronaldo has now become the all-time leading goalscorer in Euro history with 11 goals. He overtook ex-France attacking midfielder Michel Platini's record of 9 goals.,sports
"Ronaldo removes Coca-Cola bottles at press conference, says 'Water'; video goes viral","Portugal football team captain Cristiano Ronaldo removed the Coca-Cola bottles in front of him at the Euro 2020 press conference ahead of his team's first match of the tournament. After removing the cola bottles, Ronaldo lifted a water bottle and said ""Agua"", which is Portuguese for water. Coca-Cola is one of the sponsors for Euro 2020.",sports
"Ban on celebrities, including Nikhil Kamath, who 'cheated' against Anand lifted","Chess.com has lifted the ban on celebrities, including India's youngest billionaire Nikhil Kamath, producer Sajid Nadiadwala and actor Kichcha Sudeep, who 'cheated' against former world chess champion Viswanathan Anand in an online chess charity event. The platform said that it made the decision to lift the ban as the celebrities clarified that they did not understand the rules. ",sports
"After Ronaldo, Pogba removes Heineken bottle at press conference; video viral","After Cristiano Ronaldo's gesture of removing Coca-Cola bottles during a press conference at Euro 2020, French midfielder Paul Pogba was seen removing a Heineken bottle placed in front of him. Although it seemed to be a bottle of non-alcoholic beer, Pogba didn't seem to have noted it. Heineken is among the sponsors of Euro 2020.",sports
"Latest rankings for Test batsmen out, 3 Indians in top 10 ","The ICC has released the latest rankings for Test batsmen, with three Indians featuring in the top 10. Team India captain Virat Kohli jumped one spot to be ranked fourth, while Rishabh Pant and Rohit Sharma are ranked joint sixth with 747 rating points. Australia's Steve Smith dethroned New Zealand's Kane Williamson as the number one Test batsman. ",sports
"B'deshi cricketer Sabbir abuses fielder, throws brick at him from outside the ground","Bangladeshi cricketer Sabbir Rahman hurled abuses at SJDC player Elias Sunny and threw a brick at him from outside the ground during a Dhaka Premier League match. Sabbir, who plays for Legends of Rupganj, was sitting outside the ground during SJDC-Old DOHS Sports Club match. SJDC alleged Sabbir threw the brick without any reason and have demanded action against him.",sports
"Nadal pulls out of Wimbledon and Olympics, says 'The goal is to prolong my career'","Twenty-time Grand Slam champion Rafael Nadal has pulled out of the upcoming Wimbledon and Olympic Games, saying that his goal is to prolong his career. ""The fact that there have only been two weeks between [French Open] and Wimbledon, didn’t make it easier on my body to recuperate after the always demanding clay court season,"" the 35-year-old said.",sports
Pledge to dedicate our hard work in hockey to COVID-19 warriors: Rani,"Ahead of the Tokyo Olympics, Indian women's hockey team skipper Rani Rampal said she and her team pledge to dedicate their hard work towards securing a potential medal in the Olympics to country's COVID-19 warriors. ""We draw a lot of inspiration from these great people (doctors and frontline workers) who have risked their own lives to save others,"" she added.",sports
Sweden file police report after striker receives abuse for missing open goal in Euro,"The Swedish soccer federation has filed a police report after striker Marcus Berg was subjected to social media abuse and threats for missing a close-range open goal against Spain in Euro 2020. Swedish forward Alexander Isak had dribbled past three defenders to set Berg up. ""I'm the first...to say it should have been a goal,"" said Berg after the match.",sports
WTC final won't be a true reflection of how good a team is: Aakash,"Commentator Aakash Chopra has said that the WTC final won't be a true reflection of how good a team is as ""it's a one-off Test match"". ""The fact is that India have been number one Test side for the last four or five years,""  Aakash stated. ""Even if India were to lose, they won't be an inferior side,"" he added. ",sports
"Robinson, who's suspended from int'l cricket, to play for Sussex's 2nd team","England pacer Ollie Robinson will return to cricket with Sussex's second team in their T20 game against Hampshire on Tuesday, Sussex has confirmed. Robinson is suspended from international cricket by ECB pending the outcome of a disciplinary investigation following controversy over his nine-year-old tweets. The 27-year-old picked seven wickets on his Test debut against New Zealand. ",sports
Wimbledon to be played with full crowd at Centre Court for finals,"Wimbledon 2021 men's and women's singles finals will be played with a full crowd of 15,000 in attendance on Centre Court, the All England Club said on Monday. They will be the first outdoor sporting events in the United Kingdom to have capacity crowds since the start of the coronavirus pandemic last year. Wimbledon will begin from June 28.",sports
Up to 80% of Tokyo Olympics media to be vaccinated: Organisers,"The International Olympic Committee (IOC) expects 70-80% of the media covering Tokyo Olympics to be vaccinated against coronavirus, organisers said. IOC also issued updated COVID guidelines for the Games on Tuesday. Every sports delegation arriving in Japan will have a COVID liaison officer coordinating with the organisers for the implementation of the measures to curb COVID spread, they added.",sports
